AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,AccToGX,AccToGY,AccToGZ,GyroToDegPerSecondX,GyroToDegPerSecondY,GyroToDegPerSecondZ,TimeStamp
-7781,-843,-1060,2322,430,1316,-0.9498291015625,-0.1029052734375,-0.12939453125,70.79268292682927,13.109756097560977,40.1219512195122,1565282310970
-7944,-870,-937,2337,831,1009,-0.9697265625,-0.106201171875,-0.1143798828125,71.25,25.335365853658537,30.762195121951223,1565282311058
-8834,-255,-1190,2028,718,1390,-1.078369140625,-0.0311279296875,-0.145263671875,61.82926829268293,21.890243902439025,42.37804878048781,1565282311062
-8908,-212,-1196,1922,1036,1367,-1.08740234375,-0.02587890625,-0.14599609375,58.59756097560976,31.58536585365854,41.676829268292686,1565282311066
-8991,-262,-1543,2138,759,1159,-1.0975341796875,-0.031982421875,-0.1883544921875,65.1829268292683,23.140243902439025,35.33536585365854,1565282311070
-8774,-108,-1649,2136,838,1158,-1.071044921875,-0.01318359375,-0.2012939453125,65.1219512195122,25.54878048780488,35.30487804878049,1565282311075
-8566,296,-1496,2080,813,1023,-1.045654296875,0.0361328125,-0.1826171875,63.41463414634147,24.78658536585366,31.189024390243905,1565282311163
-7865,861,-2294,992,1378,253,-0.9600830078125,0.1051025390625,-0.280029296875,30.243902439024392,42.01219512195122,7.713414634146342,1565282311166
-7825,835,-2652,1138,1160,231,-0.9552001953125,0.1019287109375,-0.32373046875,34.69512195121951,35.36585365853659,7.0426829268292686,1565282311173
-8058,787,-2487,1034,1202,188,-0.983642578125,0.0960693359375,-0.3035888671875,31.52439024390244,36.646341463414636,5.731707317073171,1565282311181
-8030,395,-2906,858,1261,309,-0.980224609375,0.0482177734375,-0.354736328125,26.158536585365855,38.44512195121951,9.420731707317074,1565282311187
-8011,578,-2723,793,1267,-11,-0.9779052734375,0.070556640625,-0.3323974609375,24.176829268292686,38.62804878048781,-0.3353658536585366,1565282311268
-8035,358,-3315,249,1255,-298,-0.9808349609375,0.043701171875,-0.4046630859375,7.591463414634147,38.26219512195122,-9.085365853658537,1565282311272
-8034,351,-3619,195,1237,0,-0.980712890625,0.0428466796875,-0.4417724609375,5.945121951219512,37.713414634146346,0.0,1565282311277
